date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:14:58	24207/24207	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202024%2007:14:44%20GMT	https://site12947401.nicepage.io/?uid=7929b7cd-992c-431a-802f-868edaf1ed42	C:/My%20Web%20Sites/portfolio/site12947401.nicepage.io/index4dc5.html	(from )
09:14:58	1781/1781	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220556900779a911fd2c4f8a3c844dac64%22	https://site12947401.nicepage.io/robots.txt		(from )
09:15:00	674273/674273	---MCZ	200	added ('OK')	text/css	etag:W/%225a3c99ee8730c8db0d8ecc9d4215ec45%22	http://capp.nicepage.com/796ef266c6acf835ee1d05adb87f40991fcb995e/nicepage.css	C:/My%20Web%20Sites/portfolio/capp.nicepage.com/796ef266c6acf835ee1d05adb87f40991fcb995e/nicepage.css	(from https://site12947401.nicepage.io/?uid=7929b7cd-992c-431a-802f-868edaf1ed42)
09:15:00	839498/839498	---M-Z	200	added ('OK')	text/css	etag:W/%220649723ff75ef3241db48d2fcc9ceda0%22	https://site12947401.nicepage.io/nicepage-site.css	C:/My%20Web%20Sites/portfolio/site12947401.nicepage.io/nicepage-site.css	(from https://site12947401.nicepage.io/?uid=7929b7cd-992c-431a-802f-868edaf1ed42)
09:15:00	12170/12170	---M-Z	200	added ('OK')	text/css	etag:W/%2245583d7b9dadfb8d3c89ebddb3b64e05%22	https://site12947401.nicepage.io/index.css	C:/My%20Web%20Sites/portfolio/site12947401.nicepage.io/index.css	(from https://site12947401.nicepage.io/?uid=7929b7cd-992c-431a-802f-868edaf1ed42)
09:15:04	374135/374135	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22dc53ac8984f3ecf1210998ca88c1bbbc%22	http://capp.nicepage.com/796ef266c6acf835ee1d05adb87f40991fcb995e/nicepage.js	C:/My%20Web%20Sites/portfolio/capp.nicepage.com/796ef266c6acf835ee1d05adb87f40991fcb995e/nicepage.js	(from https://site12947401.nicepage.io/?uid=7929b7cd-992c-431a-802f-868edaf1ed42)
09:15:04	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	http://capp.nicepage.com/assets/jquery-3.5.1.min.js	C:/My%20Web%20Sites/portfolio/capp.nicepage.com/assets/jquery-3.5.1.min.js	(from https://site12947401.nicepage.io/?uid=7929b7cd-992c-431a-802f-868edaf1ed42)
09:15:04	15822/15822	---M--	200	added ('OK')	image/png	etag:%225ff4a35791a2d7121c3997df7d24f3db%22	https://assets.nicepagecdn.com/8f5bef72/6348336/images/e..png	C:/My%20Web%20Sites/portfolio/assets.nicepagecdn.com/8f5bef72/6348336/images/e..png	(from https://site12947401.nicepage.io/?uid=7929b7cd-992c-431a-802f-868edaf1ed42)
09:15:04	4948/4948	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202024%2007:14:51%20GMT	https://site12947401.nicepage.io/Acerca-de.html	C:/My%20Web%20Sites/portfolio/site12947401.nicepage.io/Acerca-de.html	(from https://site12947401.nicepage.io/?uid=7929b7cd-992c-431a-802f-868edaf1ed42)
09:15:04	24207/24207	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202024%2007:14:52%20GMT	https://site12947401.nicepage.io/	C:/My%20Web%20Sites/portfolio/site12947401.nicepage.io/index.html	(from https://site12947401.nicepage.io/?uid=7929b7cd-992c-431a-802f-868edaf1ed42)
